Make,Model,Year,Engine Size,Mileage,Fuel Type,Transmission,Price,Car_Age
Honda,Model E,2010,3.6,138150,Petrol,Manual,21765.32,15
BMW,Model B,2005,4.4,24381,Electric,Automatic,30294.39,20
Audi,Model B,2020,2.9,27807,Diesel,Manual,32186.18,5
Ford,Model D,2019,1.7,62926,Electric,Automatic,29329.41,6
Toyota,Model B,2003,2.8,10440,Petrol,Manual,22994.17,22
BMW,Model C,2012,4.2,45174,Petrol,Automatic,31658.62,13
BMW,Model E,2001,4.0,114108,Electric,Automatic,25877.88,24
Ford,Model E,2000,3.0,154792,Electric,Manual,17741.73,25
BMW,Model A,2017,1.3,120306,Electric,Automatic,25927.0,8
Toyota,Model B,2013,2.4,136752,Petrol,Manual,24460.06,12
Toyota,Model E,2003,3.8,89168,Petrol,Automatic,19488.41,22
Ford,Model A,2008,3.0,20286,Diesel,Automatic,30111.2,17
BMW,Model E,2006,1.9,197057,Diesel,Automatic,15278.83,19
Toyota,Model A,2003,2.5,95651,Electric,Manual,22684.67,22
Toyota,Model A,2005,3.3,699,Electric,Automatic,25357.67,20
Honda,Model C,2010,4.2,144370,Electric,Automatic,25175.12,15
Audi,Model C,2012,1.8,120172,Diesel,Automatic,19552.82,13
BMW,Model A,2006,2.4,111452,Petrol,Automatic,21083.76,19
Toyota,Model E,2015,3.1,62618,Electric,Automatic,29553.69,10
Ford,Model B,2004,4.4,40043,Diesel,Manual,27278.39,21
Toyota,Model B,2013,1.3,110485,Electric,Automatic,24178.22,12
Audi,Model B,2003,1.7,65491,Diesel,Manual,21680.68,22
BMW,Model E,2005,2.9,156418,Diesel,Automatic,18907.19,20
Toyota,Model A,2016,3.1,127395,Petrol,Automatic,26623.08,9
Audi,Model D,2017,3.1,123816,Diesel,Automatic,25873.83,8
Honda,Model A,2019,2.1,188967,Petrol,Manual,22938.33,6
BMW,Model A,2011,3.7,48720,Diesel,Manual,27646.73,14
Audi,Model D,2004,1.1,77038,Electric,Manual,19773.54,21
Audi,Model D,2017,1.5,150200,Petrol,Automatic,23754.73,8
Audi,Model C,2010,2.5,124411,Petrol,Automatic,20013.53,15
Ford,Model A,2019,3.0,92504,Petrol,Manual,31545.52,6
Audi,Model D,2010,4.1,79671,Diesel,Automatic,28931.06,15
Honda,Model B,2010,2.8,166287,Diesel,Manual,24880.6,15
Toyota,Model B,2005,4.3,138477,Petrol,Manual,23804.46,20
Audi,Model E,2008,4.1,32602,Diesel,Manual,30848.44,17
Audi,Model C,2016,3.5,172042,Petrol,Automatic,27192.95,9
BMW,Model C,2006,4.0,15738,Petrol,Manual,32793.17,19
BMW,Model B,2020,3.0,76881,Diesel,Automatic,27580.66,5
BMW,Model E,2015,2.8,161362,Electric,Manual,23247.16,10
Toyota,Model A,2013,2.4,128692,Diesel,Automatic,21042.62,12
Ford,Model D,2020,2.7,151514,Petrol,Manual,28221.55,5
Ford,Model A,2000,2.5,111836,Diesel,Automatic,18652.83,25
Ford,Model C,2009,2.0,91097,Petrol,Automatic,23772.43,16
Toyota,Model C,2002,1.1,135905,Petrol,Manual,16440.14,23
Honda,Model A,2018,4.2,98613,Electric,Automatic,32410.73,7
Honda,Model D,2003,2.6,49902,Electric,Manual,21549.65,22
Honda,Model E,2000,3.4,59760,Petrol,Manual,23767.99,25
BMW,Model D,2021,1.6,160743,Petrol,Manual,26260.48,4
Ford,Model C,2005,1.2,44940,Electric,Manual,22091.87,20
Ford,Model B,2015,3.8,128835,Diesel,Automatic,28176.19,10
Ford,Model B,2011,1.2,104706,Petrol,Manual,20331.6,14
Honda,Model E,2020,2.2,20247,Electric,Manual,32083.87,5
Audi,Model E,2019,2.5,141099,Diesel,Manual,26125.71,6
Ford,Model C,2016,3.1,135432,Electric,Manual,22762.58,9
BMW,Model C,2000,1.8,117940,Diesel,Automatic,17426.94,25
BMW,Model D,2002,4.4,169928,Petrol,Automatic,16888.53,23
Audi,Model E,2011,2.4,21670,Diesel,Manual,26998.5,14
Honda,Model B,2003,2.1,180440,Petrol,Manual,17445.31,22
Honda,Model C,2013,2.3,195252,Petrol,Manual,22709.69,12
Audi,Model E,2003,2.7,50106,Electric,Automatic,21369.62,22
Honda,Model D,2016,1.0,61924,Diesel,Manual,25135.68,9
BMW,Model C,2010,3.5,154552,Electric,Automatic,24566.3,15
Ford,Model E,2015,3.6,120938,Petrol,Manual,27514.66,10
Toyota,Model B,2001,2.7,43675,Petrol,Automatic,21633.99,24
Ford,Model E,2007,3.5,181367,Electric,Manual,23097.99,18
BMW,Model A,2006,2.8,188888,Petrol,Manual,17675.91,19
Ford,Model A,2008,1.5,98446,Petrol,Automatic,20006.22,17
Ford,Model D,2007,3.9,78367,Electric,Automatic,22030.89,18
BMW,Model D,2007,1.4,100980,Electric,Automatic,20663.47,18
Audi,Model B,2018,2.7,92767,Diesel,Manual,25267.11,7
Honda,Model A,2007,1.8,177071,Diesel,Automatic,16550.58,18
Toyota,Model D,2018,4.0,99410,Petrol,Manual,29680.92,7
Audi,Model D,2017,2.9,178250,Diesel,Automatic,25256.23,8
Audi,Model C,2006,3.5,115513,Petrol,Automatic,23836.93,19
Audi,Model A,2011,3.7,19126,Diesel,Automatic,35396.33,14
Audi,Model C,2000,3.8,116591,Diesel,Automatic,22411.52,25
Audi,Model D,2009,2.4,111212,Diesel,Automatic,24259.18,16
Ford,Model D,2002,2.9,192206,Diesel,Automatic,18749.12,23
Ford,Model D,2004,1.4,68342,Electric,Manual,22228.52,21
Toyota,Model C,2011,3.0,140182,Diesel,Automatic,21531.76,14
Ford,Model A,2013,2.8,131087,Diesel,Manual,25275.31,12
Honda,Model A,2015,1.9,24116,Electric,Automatic,26964.76,10
Toyota,Model D,2018,2.6,195393,Diesel,Automatic,23794.63,7
Audi,Model E,2014,2.3,83526,Petrol,Manual,25740.05,11
Toyota,Model D,2004,3.9,178724,Electric,Manual,19374.41,21
Honda,Model D,2018,3.6,161310,Electric,Manual,24709.99,7
Audi,Model A,2001,4.3,153704,Diesel,Automatic,21404.24,24
Toyota,Model C,2019,1.1,169485,Petrol,Manual,22809.69,6
Ford,Model E,2016,1.6,196274,Diesel,Automatic,18874.09,9
BMW,Model B,2009,4.0,56965,Diesel,Automatic,26826.29,16
Audi,Model D,2005,2.2,108135,Diesel,Manual,18596.38,20
Honda,Model A,2003,2.6,105219,Diesel,Automatic,22912.1,22
Honda,Model C,2006,2.1,199551,Diesel,Manual,16911.33,19
Ford,Model E,2014,2.9,99600,Petrol,Manual,27880.39,11
Honda,Model C,2011,1.8,86820,Electric,Manual,25004.77,14
Audi,Model A,2007,2.7,166735,Electric,Manual,21572.07,18
Audi,Model E,2000,1.2,83169,Diesel,Automatic,17318.52,25
Toyota,Model E,2001,1.4,20954,Diesel,Automatic,21971.56,24
Honda,Model D,2005,2.1,185354,Electric,Automatic,18103.61,20
Honda,Model B,2017,3.2,16025,Petrol,Automatic,33199.28,8
Honda,Model E,2014,1.7,41307,Diesel,Automatic,29151.59,11
Ford,Model E,2018,1.5,100021,Petrol,Manual,27794.32,7
Ford,Model D,2001,2.4,25209,Diesel,Automatic,23850.03,24
BMW,Model E,2003,3.2,195784,Diesel,Automatic,15627.43,22
Ford,Model E,2017,3.4,130798,Diesel,Manual,29330.25,8
Honda,Model E,2000,2.0,71887,Petrol,Manual,17523.41,25
Honda,Model B,2005,3.9,196314,Electric,Automatic,14143.85,20
Audi,Model B,2014,3.8,61138,Diesel,Automatic,29367.72,11
Toyota,Model D,2020,2.3,145183,Petrol,Manual,24318.48,5
Ford,Model D,2013,3.8,33660,Electric,Manual,32327.34,12
Audi,Model D,2016,1.0,2525,Electric,Automatic,30971.57,9
BMW,Model C,2001,3.6,99507,Electric,Manual,25316.89,24
Ford,Model C,2014,1.7,24281,Petrol,Manual,29644.93,11
Honda,Model C,2017,4.1,35280,Electric,Automatic,36730.71,8
BMW,Model C,2013,1.1,127648,Diesel,Automatic,24128.06,12
Honda,Model D,2014,3.9,103612,Diesel,Automatic,26002.04,11
BMW,Model A,2020,3.4,20377,Electric,Automatic,32218.28,5
Toyota,Model E,2008,1.3,149363,Electric,Automatic,19608.4,17
BMW,Model C,2010,2.6,82,Electric,Manual,29873.43,15
Audi,Model B,2004,3.9,97552,Diesel,Manual,23165.91,21
Ford,Model B,2015,2.8,39735,Electric,Automatic,32311.15,10
BMW,Model D,2000,1.5,132393,Diesel,Manual,17235.89,25
Toyota,Model C,2005,4.4,178601,Diesel,Manual,21875.23,20
Toyota,Model A,2000,4.1,26640,Diesel,Automatic,23474.09,25
Toyota,Model E,2003,3.5,22846,Petrol,Manual,26935.53,22
Audi,Model D,2003,2.6,121019,Diesel,Manual,20457.76,22
Toyota,Model E,2008,3.0,162112,Diesel,Automatic,19637.95,17
Toyota,Model B,2000,2.0,64339,Diesel,Manual,19085.88,25
Ford,Model D,2010,2.1,35497,Diesel,Manual,30029.43,15
Ford,Model B,2020,1.9,41178,Electric,Manual,33328.84,5
Ford,Model C,2003,2.7,104110,Petrol,Automatic,23857.99,22
Honda,Model B,2010,1.1,78485,Electric,Manual,22523.15,15
BMW,Model B,2006,1.8,65287,Electric,Automatic,17729.41,19
Audi,Model B,2010,3.0,9773,Petrol,Manual,26734.96,15
Toyota,Model D,2013,1.4,165759,Diesel,Manual,18205.24,12
Audi,Model E,2010,1.8,88533,Petrol,Automatic,25237.62,15
BMW,Model E,2021,4.1,46029,Diesel,Manual,33666.28,4
BMW,Model A,2003,1.6,71629,Diesel,Manual,21107.03,22
Honda,Model A,2000,2.6,170070,Diesel,Automatic,14755.99,25
Ford,Model E,2008,2.6,167017,Petrol,Automatic,16523.22,17
Honda,Model C,2009,3.6,101552,Diesel,Automatic,25137.18,16
Ford,Model B,2005,4.0,49715,Electric,Manual,30335.64,20
Audi,Model B,2009,2.9,147975,Petrol,Manual,20874.92,16
Audi,Model A,2004,1.4,143280,Petrol,Automatic,16170.24,21
Ford,Model C,2011,2.5,25723,Electric,Manual,26540.4,14
BMW,Model B,2006,2.3,166607,Diesel,Manual,18401.26,19
BMW,Model A,2003,2.4,63356,Diesel,Manual,22673.72,22
Honda,Model E,2006,2.9,103513,Diesel,Manual,22405.38,19
Toyota,Model D,2015,3.8,30978,Petrol,Manual,31596.95,10
Toyota,Model D,2005,1.2,125873,Diesel,Manual,17096.95,20
Toyota,Model E,2019,1.5,29171,Petrol,Automatic,26778.17,6
Ford,Model C,2015,2.7,110389,Electric,Automatic,24808.14,10
Ford,Model E,2016,1.5,65179,Electric,Automatic,25544.78,9
Toyota,Model B,2018,1.0,189395,Petrol,Automatic,22533.99,7
Ford,Model C,2013,1.1,150970,Diesel,Manual,18309.86,12
Toyota,Model C,2014,4.1,181774,Petrol,Automatic,27419.0,11
Honda,Model B,2004,2.7,145262,Diesel,Manual,20294.39,21
BMW,Model C,2002,3.6,180379,Petrol,Manual,14562.96,23
Toyota,Model E,2009,2.9,98736,Petrol,Manual,21258.0,16
Honda,Model B,2006,2.0,170548,Petrol,Manual,18102.61,19
Audi,Model A,2020,1.5,133788,Electric,Manual,22583.25,5
Ford,Model D,2001,1.4,102185,Electric,Automatic,17885.44,24
Toyota,Model B,2016,3.5,18951,Electric,Automatic,33771.46,9
BMW,Model B,2008,2.8,173441,Petrol,Manual,19651.89,17
Toyota,Model A,2003,2.1,166786,Diesel,Automatic,14908.79,22
BMW,Model B,2015,4.4,156353,Petrol,Manual,26158.09,10
Ford,Model A,2013,1.6,135449,Electric,Manual,22061.9,12
Toyota,Model A,2002,2.9,45334,Diesel,Manual,21783.33,23
Ford,Model A,2014,3.7,88529,Petrol,Manual,29752.63,11
Toyota,Model B,2011,3.0,41528,Petrol,Automatic,33989.4,14
Audi,Model C,2008,4.0,182756,Diesel,Automatic,19966.07,17
Toyota,Model B,2010,2.9,6892,Petrol,Automatic,30579.8,15
Ford,Model D,2017,4.1,108286,Petrol,Automatic,27936.91,8
Honda,Model C,2018,1.8,75877,Petrol,Automatic,26414.64,7
BMW,Model E,2020,3.8,54400,Electric,Manual,32965.87,5
Honda,Model E,2005,3.8,97997,Diesel,Automatic,25748.81,20
Ford,Model E,2012,4.1,102156,Diesel,Manual,27785.05,13
Honda,Model B,2012,3.0,66800,Diesel,Automatic,27528.7,13
Ford,Model C,2016,2.8,137817,Petrol,Automatic,27236.74,9
Audi,Model D,2007,3.9,47078,Petrol,Manual,27371.07,18
Toyota,Model E,2001,3.8,167513,Electric,Automatic,17899.53,24
Audi,Model C,2003,1.5,125194,Petrol,Manual,15863.48,22
Toyota,Model D,2008,2.4,6608,Diesel,Automatic,31928.05,17
Ford,Model C,2012,3.7,133730,Diesel,Manual,26891.31,13
Ford,Model C,2012,1.7,102589,Petrol,Manual,23531.6,13
Ford,Model C,2016,1.1,110918,Diesel,Manual,24806.79,9
Audi,Model E,2013,4.3,66962,Petrol,Manual,30829.7,12
Audi,Model C,2016,3.9,26805,Diesel,Automatic,32012.57,9
BMW,Model E,2014,3.6,165088,Petrol,Manual,24160.32,11
Honda,Model B,2016,4.0,108460,Diesel,Manual,28424.54,9
Toyota,Model A,2018,3.7,6381,Electric,Automatic,36547.03,7
Toyota,Model A,2020,3.9,12370,Petrol,Manual,34282.28,5
Ford,Model D,2014,3.3,101800,Electric,Automatic,29064.0,11
Audi,Model A,2000,4.3,97029,Petrol,Automatic,21595.8,25
Audi,Model D,2002,3.9,55012,Diesel,Manual,23877.22,23
Ford,Model D,2018,2.5,85639,Petrol,Manual,31693.59,7
BMW,Model A,2018,1.3,187243,Petrol,Manual,23377.24,7
Toyota,Model D,2011,1.9,35415,Electric,Automatic,28978.31,14
BMW,Model E,2008,1.8,126356,Diesel,Automatic,18375.68,17
Toyota,Model A,2013,1.1,24688,Electric,Manual,29996.63,12
Audi,Model D,2021,3.2,65158,Diesel,Automatic,33210.9,4
Honda,Model D,2016,2.8,41464,Petrol,Manual,31609.26,9
Ford,Model D,2008,2.9,181755,Diesel,Manual,22252.98,17
Audi,Model D,2001,4.0,187472,Petrol,Manual,18824.01,24
Honda,Model D,2021,2.0,53784,Electric,Automatic,29066.32,4
Ford,Model D,2004,1.4,108271,Petrol,Automatic,16458.11,21
Toyota,Model A,2002,2.6,189147,Electric,Manual,17950.81,23
BMW,Model A,2008,4.1,95504,Electric,Manual,27867.87,17
Audi,Model B,2009,2.1,118297,Petrol,Automatic,19442.77,16
BMW,Model E,2013,1.8,16313,Electric,Manual,28975.08,12
Ford,Model A,2009,2.0,179988,Petrol,Automatic,15476.49,16
Honda,Model B,2009,2.5,7176,Diesel,Manual,25921.28,16
BMW,Model E,2003,1.7,50009,Petrol,Manual,19024.44,22
Ford,Model C,2006,2.3,63160,Diesel,Manual,22481.95,19
Honda,Model C,2006,2.5,186293,Diesel,Automatic,19063.44,19
BMW,Model C,2016,3.8,146007,Petrol,Manual,26006.7,9
Honda,Model C,2009,4.0,17363,Diesel,Automatic,30565.03,16
Honda,Model B,2008,2.4,31084,Petrol,Automatic,22878.93,17
Ford,Model D,2004,2.8,137212,Petrol,Manual,23681.37,21
Audi,Model A,2018,1.1,190173,Petrol,Automatic,19914.09,7
Toyota,Model D,2002,3.1,72671,Electric,Manual,22419.75,23
