Make,Model,Year,Engine Size,Mileage,Fuel Type,Transmission,Price
Toyota,Model A,2008.0,3.7,107707.0,Petrol,Manual,29028.10821226708
Audi,Model D,2018.0,4.5,42846.0,Electric,Manual,35834.403072898655
Ford,Model D,2005.0,1.7,41001.0,Electric,Manual,24973.317290045397
Toyota,Model D,2021.0,3.6,63634.0,Petrol,Automatic,38159.63631743513
Ford,Model A,2002.0,3.8,120578.0,Electric,Automatic,22791.64023161122
Honda,Model A,2015.0,3.3,34218.0,Petrol,Manual,32024.238202087767
Ford,Model B,2005.0,1.2,10921.0,Electric,Automatic,23984.94943113643
Honda,Model C,2009.0,4.0,119340.0,Electric,Automatic,20201.00328754233
Ford,Model D,2010.0,1.4,13806.0,Petrol,Automatic,25295.79667080001
Ford,Model A,2001.0,1.1,186985.0,Electric,Automatic,10358.04734453507
Audi,Model E,2013.0,2.1,39801.0,Petrol,Manual,26706.931536334105
Ford,Model E,2020.0,3.5,183844.0,Electric,Manual,27447.486284360424
Ford,Model A,2010.0,2.1,171066.0,Diesel,Manual,21537.954369376934
Audi,Model D,2008.0,3.8,13720.0,Petrol,Manual,27885.979507669304
Toyota,Model A,2020.0,1.4,72599.0,Petrol,Automatic,26781.627028948307
BMW,Model C,2014.0,3.7,112033.0,Diesel,Automatic,23874.096013709317
Audi,Model E,2020.0,3.5,33653.0,Diesel,Automatic,33602.474656913786
Audi,Model B,2020.0,3.5,110914.0,Diesel,Automatic,29338.134833305296
Audi,Model B,2002.0,3.2,177300.0,Electric,Manual,12568.163980634385
Honda,Model B,2017.0,3.3,6276.0,Electric,Automatic,34805.55692571182
Audi,Model C,2018.0,2.3,126705.0,Electric,Manual,27010.559551041628
Toyota,Model E,2020.0,4.0,85654.0,Electric,Manual,33334.35475269256
Toyota,Model B,2020.0,1.5,156252.0,Electric,Automatic,27227.66343530371
Honda,Model B,2011.0,1.9,114419.0,Petrol,Manual,22743.265446293208
BMW,Model D,2012.0,2.1,73390.0,Diesel,Automatic,24761.18810735881
Honda,Model D,2001.0,2.4,169913.0,Diesel,Automatic,18541.18479916595
Ford,Model D,2008.0,1.2,166700.0,Petrol,Automatic,17208.452971455783
Toyota,Model E,2019.0,2.3,79021.0,Diesel,Automatic,31432.3787087294
BMW,Model A,2010.0,2.1,94697.0,Diesel,Manual,28605.59198583281
Toyota,Model E,2007.0,3.2,48056.0,Electric,Automatic,29592.46127321793
BMW,Model A,2020.0,1.0,80283.0,Petrol,Automatic,25175.596539937716
Honda,Model C,2003.0,3.5,77827.0,Diesel,Manual,21225.303270835484
Ford,Model E,2005.0,3.6,50809.0,Petrol,Automatic,24549.013039014066
Ford,Model A,2015.0,1.5,137235.0,Diesel,Automatic,23513.569966983134
Ford,Model A,2000.0,1.9,128518.0,Petrol,Automatic,17818.482044271972
Toyota,Model A,2019.0,2.9,136452.0,Diesel,Automatic,24828.53693773029
Honda,Model D,2008.0,4.2,53805.0,Petrol,Automatic,31846.495320189028
Ford,Model B,2019.0,2.3,196671.0,Diesel,Automatic,23441.540765942555
Honda,Model C,2013.0,1.4,7305.0,Petrol,Manual,30106.53651013737
Toyota,Model B,2015.0,4.0,149741.0,Petrol,Automatic,26622.032771612023
Toyota,Model C,2017.0,1.6,80990.0,Diesel,Automatic,23872.15270117515
Honda,Model C,2002.0,3.5,156021.0,Petrol,Automatic,18572.431363616277
Ford,Model C,2002.0,1.1,146932.0,Diesel,Automatic,17011.729868257302
Toyota,Model A,2011.0,2.2,60157.0,Diesel,Manual,25206.711535893737
Ford,Model C,2006.0,4.0,154348.0,Petrol,Automatic,23514.44781375145
Toyota,Model A,2014.0,1.8,149092.0,Electric,Manual,21264.711273116973
Ford,Model E,2014.0,1.6,153789.0,Petrol,Manual,20986.010866117613
Honda,Model E,2020.0,2.1,47563.0,Electric,Manual,30269.437493584457
BMW,Model B,2009.0,4.0,26360.0,Diesel,Manual,28486.799155979134
BMW,Model A,2017.0,4.3,76595.0,Petrol,Automatic,32467.740809208728
Ford,Model D,2008.0,3.3,143131.0,Petrol,Automatic,23154.54043579984
Honda,Model B,2011.0,2.9,165201.0,Electric,Automatic,23348.019369311885
Ford,Model C,2020.0,2.2,188620.0,Electric,Manual,25838.93495605105
BMW,Model B,2002.0,2.2,93917.0,Electric,Automatic,17692.90567894584
BMW,Model A,2007.0,3.5,171302.0,Petrol,Automatic,17268.058544079657
Honda,Model D,2017.0,2.2,594.0,Diesel,Manual,32190.388630532187
Audi,Model B,2005.0,1.9,89927.0,Petrol,Automatic,20819.150384814304
BMW,Model E,2016.0,3.3,137906.0,Diesel,Automatic,25645.83128340115
Ford,Model C,2009.0,2.2,22989.0,Electric,Manual,28514.85809993344
Honda,Model D,2014.0,2.3,169857.0,Diesel,Manual,21249.225273178075
BMW,Model B,2021.0,2.9,131002.0,Electric,Automatic,30826.52205784224
Honda,Model E,2012.0,2.3,72778.0,Electric,Automatic,27402.6489303592
Ford,Model D,2021.0,2.1,188058.0,Electric,Automatic,24382.52175080164
Audi,Model C,2010.0,1.5,19352.0,Petrol,Automatic,27033.35179874102
BMW,Model B,2009.0,3.5,41992.0,Electric,Automatic,29094.8532985873
Toyota,Model A,2015.0,1.5,123555.0,Electric,Automatic,23550.402862903426
Toyota,Model B,2015.0,1.8,45836.0,Electric,Automatic,25620.4783485158
Toyota,Model E,2021.0,4.4,189525.0,Diesel,Manual,27474.367016111675
BMW,Model B,2020.0,3.3,178650.0,Diesel,Manual,26300.41633359509
Ford,Model E,2013.0,3.6,51121.0,Diesel,Manual,32318.655118244864
Honda,Model D,2007.0,1.6,129036.0,Petrol,Automatic,15741.234385002155
Audi,Model C,2002.0,3.7,85770.0,Diesel,Automatic,20497.37880612599
Toyota,Model E,2018.0,1.9,35076.0,Petrol,Automatic,33396.906347323726
BMW,Model A,2013.0,2.2,98205.0,Petrol,Manual,25610.181440830136
BMW,Model D,2017.0,3.7,114379.0,Petrol,Automatic,29912.36665373618
Honda,Model A,2006.0,4.1,164303.0,Diesel,Automatic,24478.65906780416
BMW,Model B,2002.0,2.5,20215.0,Petrol,Automatic,24369.518956728745
Audi,Model A,2001.0,2.4,180251.0,Electric,Manual,17639.676539074157
Audi,Model B,2004.0,3.5,50822.0,Electric,Automatic,24251.64766773114
Audi,Model B,2005.0,2.0,26543.0,Petrol,Manual,19734.97781109213
Audi,Model D,2000.0,2.5,176703.0,Petrol,Manual,15517.015980354196
Audi,Model E,2008.0,3.5,157678.0,Electric,Manual,22992.0492614024
Ford,Model B,2002.0,2.7,164361.0,Diesel,Automatic,15368.822278481188
Toyota,Model D,2020.0,2.2,161787.0,Electric,Automatic,25713.028135510387
Ford,Model A,2008.0,3.6,10136.0,Petrol,Automatic,29720.2671213742
Audi,Model C,2006.0,4.5,35445.0,Diesel,Manual,28190.80782344068
Toyota,Model A,2021.0,2.1,96651.0,Diesel,Manual,30329.2988078282
Toyota,Model C,2004.0,3.6,159109.0,Electric,Automatic,21252.908327528738
Toyota,Model D,2006.0,3.8,56064.0,Petrol,Automatic,27300.845656438203
Toyota,Model B,2004.0,2.6,14134.0,Diesel,Automatic,22041.804305798
Ford,Model E,2011.0,1.3,111318.0,Diesel,Automatic,17446.95103243001
Toyota,Model E,2002.0,2.1,100492.0,Electric,Manual,18897.579528887563
Audi,Model C,2012.0,2.3,22659.0,Diesel,Automatic,30121.83737441192
Audi,Model E,2001.0,4.1,177014.0,Diesel,Manual,18821.731404591592
Audi,Model A,2006.0,1.6,23019.0,Electric,Manual,22198.781606253742
Audi,Model E,2015.0,2.5,71446.0,Petrol,Manual,25349.92168149093
Honda,Model D,2009.0,3.3,197631.0,Diesel,,17507.799264799607
Honda,Model A,2004.0,4.5,159179.0,Electric,Automatic,20029.648048445728
BMW,Model A,2015.0,2.3,100258.0,Electric,Manual,23452.218750252163
Honda,Model D,2008.0,2.7,148468.0,Electric,Manual,20467.62369888859
Audi,Model B,2014.0,3.7,113506.0,Petrol,Manual,25004.324749209245
Honda,Model C,2010.0,2.9,75104.0,Diesel,Manual,25329.208383120596
Ford,Model E,2020.0,3.3,167952.0,Petrol,Automatic,26360.95429570513
Toyota,Model B,2014.0,2.3,148223.0,Petrol,Manual,23018.97605023583
Honda,Model E,2015.0,2.9,141419.0,Electric,Manual,23426.454208062467
Honda,Model A,2005.0,3.3,148223.0,Diesel,Automatic,23340.543848956822
Audi,Model E,2011.0,2.5,120263.0,Petrol,Automatic,22505.30275826697
Ford,Model A,2005.0,3.3,71796.0,Electric,Automatic,22740.19755913964
Honda,Model A,2004.0,3.5,145381.0,Electric,Manual,22151.410634658398
BMW,Model B,2006.0,4.1,941.0,Diesel,Automatic,32894.25609903656
Audi,Model D,2006.0,3.8,47542.0,Electric,Manual,26010.17011043461
Audi,Model B,2006.0,1.9,95616.0,Petrol,Manual,21725.008256825167
BMW,Model B,2019.0,3.4,141691.0,Electric,Automatic,28900.660886672744
Audi,Model A,2005.0,3.4,198275.0,Petrol,Automatic,16599.841540996113
Ford,Model A,2017.0,1.2,115672.0,Diesel,Automatic,25760.162679413468
Audi,Model A,2003.0,3.9,49089.0,Diesel,Automatic,27179.25170607935
Audi,Model D,2002.0,3.4,81094.0,Petrol,Manual,20736.808906086804
Ford,Model A,2009.0,3.4,109880.0,Electric,Automatic,22731.895927896432
Honda,Model C,2017.0,4.2,74447.0,Petrol,Automatic,34176.718907302675
BMW,Model A,2004.0,2.0,93254.0,Petrol,Automatic,19465.827251426766
BMW,Model A,2000.0,2.6,70976.0,Electric,Manual,20772.094604670157
BMW,Model E,2015.0,3.2,185157.0,Diesel,Manual,22254.7192728079
BMW,Model C,2010.0,4.3,140048.0,Petrol,Manual,22997.134703774194
Audi,Model D,2021.0,4.0,155781.0,Electric,Manual,29605.40237312973
Ford,Model D,2016.0,3.0,54850.0,Petrol,Automatic,29303.18311156421
BMW,Model B,2020.0,3.5,79082.0,Petrol,Manual,32789.598590159934
Audi,Model C,2010.0,1.1,32700.0,Diesel,Manual,27694.26551571322
Honda,Model E,2010.0,3.6,138150.0,Petrol,Manual,21765.31602708774
BMW,Model B,2005.0,4.4,24381.0,Electric,Automatic,30294.387024834286
Audi,Model B,2020.0,2.9,27807.0,Diesel,Manual,32186.175860602594
Ford,Model D,2019.0,1.7,62926.0,Electric,Automatic,29329.40564938644
Toyota,Model B,2003.0,2.8,10440.0,Petrol,Manual,22994.16695660386
BMW,Model C,2012.0,4.2,45174.0,Petrol,Automatic,31658.618808605745
BMW,Model E,2001.0,4.0,114108.0,Electric,Automatic,25877.8764332671
Ford,Model E,2000.0,3.0,154792.0,Electric,Manual,17741.726659933633
BMW,Model A,2017.0,1.3,120306.0,Electric,Automatic,25927.00291600299
Toyota,,2013.0,2.4,136752.0,Petrol,Manual,24460.06212270166
Toyota,Model E,2003.0,3.8,89168.0,Petrol,Automatic,19488.412259823188
Ford,Model A,2008.0,3.0,20286.0,Diesel,Automatic,30111.19961822908
BMW,Model E,2006.0,1.9,197057.0,Diesel,Automatic,15278.82925271617
Toyota,Model A,2003.0,2.5,95651.0,Electric,Manual,22684.67302725649
Toyota,Model A,2005.0,3.3,699.0,Electric,Automatic,25357.66556823608
Honda,Model C,2010.0,4.2,144370.0,Electric,Automatic,25175.119468174424
Audi,Model C,2012.0,1.8,120172.0,Diesel,Automatic,19552.817864650468
BMW,Model A,2006.0,2.4,111452.0,Petrol,Automatic,21083.76027634665
Toyota,Model E,2015.0,3.1,62618.0,Electric,Automatic,29553.68764684635
Ford,Model B,2004.0,4.4,40043.0,Diesel,Manual,27278.389831655168
Toyota,Model B,2013.0,1.3,110485.0,Electric,Automatic,24178.21505018042
Audi,Model B,2003.0,1.7,65491.0,Diesel,Manual,21680.684687381963
BMW,Model E,2005.0,2.9,156418.0,Diesel,Automatic,18907.192540861848
Toyota,Model A,2016.0,3.1,127395.0,Petrol,Automatic,26623.080823024637
Audi,Model D,2017.0,3.1,123816.0,Diesel,Automatic,25873.827841377144
Honda,Model A,2019.0,2.1,188967.0,Petrol,Manual,22938.32705271936
BMW,Model A,2011.0,3.7,48720.0,Diesel,Manual,27646.729908677346
Audi,Model D,2004.0,1.1,77038.0,Electric,Manual,19773.53767860584
Audi,Model D,2017.0,1.5,150200.0,Petrol,Automatic,23754.727290062936
Audi,Model C,2010.0,2.5,124411.0,Petrol,Automatic,20013.529208386608
Ford,Model A,2019.0,3.0,92504.0,Petrol,,31545.523285792835
Audi,Model D,2010.0,4.1,79671.0,Diesel,Automatic,28931.059945298508
Honda,Model B,2010.0,2.8,166287.0,Diesel,Manual,24880.595957094945
Toyota,Model B,2005.0,4.3,138477.0,Petrol,Manual,23804.457325345527
Audi,Model E,2008.0,4.1,32602.0,Diesel,Manual,30848.438465207066
Audi,Model C,2016.0,3.5,172042.0,Petrol,Automatic,27192.95261576308
BMW,Model C,2006.0,4.0,15738.0,Petrol,Manual,32793.174059547826
BMW,Model B,2020.0,3.0,76881.0,Diesel,Automatic,27580.661590264925
BMW,Model E,2015.0,2.8,161362.0,Electric,Manual,23247.15508862069
Toyota,Model A,2013.0,2.4,128692.0,Diesel,Automatic,21042.624824912957
Ford,Model D,2020.0,2.7,151514.0,Petrol,Manual,28221.54721805148
Ford,Model A,2000.0,2.5,111836.0,Diesel,Automatic,18652.834811798617
Ford,Model C,2009.0,2.0,91097.0,Petrol,Automatic,23772.431516759847
Toyota,Model C,2002.0,1.1,135905.0,Petrol,Manual,16440.138798359396
Honda,Model A,2018.0,4.2,98613.0,Electric,Automatic,32410.728863115357
Honda,Model D,2003.0,2.6,49902.0,Electric,Manual,21549.646575315925
Honda,Model E,2000.0,3.4,59760.0,Petrol,Manual,23767.98923809212
BMW,Model D,2021.0,1.6,160743.0,Petrol,Manual,26260.482103851544
Ford,Model C,2005.0,1.2,44940.0,Electric,Manual,22091.87452460704
Ford,Model B,2015.0,3.8,128835.0,Diesel,Automatic,28176.18637447164
Ford,Model B,2011.0,1.2,104706.0,Petrol,Manual,20331.596700513197
Honda,Model E,2020.0,2.2,20247.0,Electric,Manual,32083.86658942177
Audi,Model E,2019.0,2.5,141099.0,Diesel,Manual,26125.70928408115
Ford,Model C,2016.0,3.1,135432.0,Electric,Manual,22762.58137906101
BMW,Model C,2000.0,1.8,117940.0,Diesel,Automatic,17426.94128681796
BMW,Model D,2002.0,4.4,169928.0,Petrol,Automatic,16888.531139814135
Audi,Model E,,2.4,21670.0,Diesel,Manual,26998.502071593462
Honda,Model B,2003.0,2.1,180440.0,Petrol,Manual,17445.309706534117
Honda,Model C,2013.0,2.3,195252.0,Petrol,Manual,22709.686083356177
Audi,Model E,2003.0,2.7,50106.0,Electric,Automatic,21369.61966386018
Honda,Model D,2016.0,1.0,61924.0,Diesel,Manual,25135.681712366728
BMW,Model C,2010.0,3.5,154552.0,Electric,Automatic,24566.304608062408
Ford,Model E,2015.0,3.6,120938.0,Petrol,Manual,27514.65961707783
Toyota,Model B,2001.0,2.7,43675.0,Petrol,Automatic,21633.992558406128
Ford,Model E,2007.0,3.5,181367.0,Electric,Manual,23097.988913386784
BMW,Model A,2006.0,2.8,188888.0,Petrol,Manual,17675.908245566327
Ford,Model A,2008.0,1.5,98446.0,Petrol,Automatic,20006.223074539477
Ford,Model D,2007.0,3.9,78367.0,Electric,Automatic,22030.89026871555
BMW,Model D,2007.0,1.4,100980.0,Electric,Automatic,20663.469269711
Audi,Model B,2018.0,2.7,92767.0,Diesel,Manual,25267.110657646863
Honda,Model A,2007.0,1.8,177071.0,Diesel,Automatic,16550.582051153106
Toyota,Model D,2018.0,4.0,99410.0,Petrol,Manual,29680.923531173707
Audi,Model D,2017.0,2.9,178250.0,Diesel,Automatic,25256.23336951584
Audi,Model C,2006.0,3.5,115513.0,Petrol,Automatic,23836.928190068174
Audi,Model A,2011.0,3.7,19126.0,Diesel,Automatic,35396.32879457313
Audi,Model C,2000.0,3.8,116591.0,Diesel,Automatic,22411.517732561897
Audi,Model D,2009.0,2.4,111212.0,Diesel,Automatic,24259.177755088327
Ford,Model D,2002.0,2.9,192206.0,Diesel,Automatic,18749.12105024924
Ford,Model D,2004.0,1.4,68342.0,Electric,Manual,22228.520295096743
Toyota,Model C,2011.0,3.0,140182.0,Diesel,Automatic,21531.755463746184
Ford,Model A,2013.0,2.8,131087.0,Diesel,Manual,25275.311159685527
Honda,Model A,2015.0,1.9,24116.0,Electric,Automatic,26964.76136551343
Toyota,Model D,2018.0,2.6,195393.0,Diesel,Automatic,23794.634181252768
Audi,Model E,2014.0,2.3,83526.0,Petrol,Manual,25740.05448013045
Toyota,Model D,2004.0,3.9,178724.0,Electric,Manual,19374.407860009334
Honda,Model D,2018.0,3.6,161310.0,Electric,Manual,24709.98839402246
Audi,Model A,2001.0,4.3,153704.0,Diesel,Automatic,21404.241974435707
Toyota,Model C,2019.0,1.1,169485.0,Petrol,Manual,22809.69004944061
Ford,Model E,2016.0,1.6,196274.0,Diesel,Automatic,18874.08999017783
BMW,Model B,2009.0,4.0,56965.0,Diesel,Automatic,26826.28508396217
Audi,Model D,2005.0,2.2,108135.0,Diesel,Manual,18596.38043524685
Honda,Model A,2003.0,2.6,105219.0,Diesel,Automatic,22912.09603183066
Honda,Model C,2006.0,2.1,199551.0,Diesel,Manual,16911.329485746563
Ford,Model E,2014.0,2.9,,Petrol,Manual,27880.392723251614
Honda,Model C,2011.0,1.8,86820.0,Electric,Manual,25004.773012969166
Audi,Model A,2007.0,2.7,166735.0,Electric,Manual,21572.06767260815
Audi,Model E,2000.0,1.2,83169.0,Diesel,Automatic,17318.517189014714
Toyota,Model E,2001.0,1.4,20954.0,Diesel,Automatic,21971.55849924866
Honda,Model D,2005.0,2.1,185354.0,Electric,Automatic,18103.61276436505
Honda,Model B,2017.0,3.2,16025.0,Petrol,Automatic,33199.28048801607
Honda,Model E,2014.0,1.7,41307.0,Diesel,Automatic,29151.591218653597
Ford,Model E,2018.0,1.5,100021.0,Petrol,Manual,27794.319176651217
Ford,Model D,2001.0,2.4,25209.0,Diesel,Automatic,23850.027917251136
BMW,Model E,2003.0,3.2,195784.0,Diesel,Automatic,15627.427445793946
Ford,Model E,2017.0,3.4,130798.0,Diesel,Manual,29330.248398816504
Honda,Model E,2000.0,2.0,71887.0,Petrol,Manual,17523.408025570247
Honda,Model B,2005.0,3.9,196314.0,Electric,Automatic,14143.851897757162
Audi,Model B,2014.0,3.8,61138.0,Diesel,Automatic,29367.716389123805
Toyota,Model D,2020.0,2.3,145183.0,Petrol,Manual,24318.476099231084
Ford,Model D,2013.0,3.8,33660.0,Electric,Manual,32327.335577859216
Audi,Model D,2016.0,1.0,2525.0,Electric,Automatic,30971.57167383747
BMW,Model C,2001.0,3.6,99507.0,Electric,Manual,25316.89228589475
Ford,Model C,2014.0,1.7,24281.0,Petrol,Manual,29644.92966606423
Honda,Model C,2017.0,4.1,35280.0,Electric,Automatic,36730.70825991642
BMW,Model C,2013.0,1.1,127648.0,Diesel,Automatic,24128.05834932026
Honda,Model D,2014.0,3.9,103612.0,Diesel,Automatic,26002.04177699089
BMW,Model A,2020.0,3.4,20377.0,Electric,Automatic,32218.27631232155
Toyota,Model E,2008.0,1.3,149363.0,Electric,Automatic,19608.403859519032
BMW,Model C,2010.0,2.6,82.0,Electric,Manual,29873.43238254162
Audi,Model B,2004.0,3.9,97552.0,Diesel,Manual,23165.91227135635
Ford,Model B,2015.0,2.8,39735.0,Electric,Automatic,32311.154981385676
BMW,Model D,2000.0,1.5,132393.0,Diesel,Manual,17235.888814705642
Toyota,Model C,2005.0,4.4,178601.0,Diesel,Manual,21875.231256772004
Toyota,Model A,2000.0,4.1,26640.0,Diesel,Automatic,23474.08984480703
Toyota,Model E,2003.0,3.5,22846.0,Petrol,Manual,26935.534865784608
Audi,Model D,2003.0,2.6,121019.0,Diesel,Manual,20457.755824330376
,Model E,2008.0,3.0,162112.0,Diesel,Automatic,19637.954266125
Toyota,Model B,2000.0,2.0,64339.0,Diesel,Manual,19085.879418629
Ford,Model D,2010.0,2.1,35497.0,Diesel,Manual,30029.431709348668
Ford,Model B,2020.0,1.9,41178.0,Electric,Manual,33328.841527397104
Ford,Model C,2003.0,2.7,104110.0,Petrol,Automatic,23857.98557980413
Honda,,2010.0,1.1,78485.0,Electric,Manual,22523.152623298407
BMW,Model B,2006.0,1.8,65287.0,Electric,Automatic,17729.409799686913
Audi,Model B,2010.0,3.0,9773.0,Petrol,Manual,26734.955961867217
Toyota,Model D,2013.0,1.4,165759.0,Diesel,Manual,18205.24034997344
Audi,Model E,2010.0,1.8,88533.0,Petrol,Automatic,25237.615890042507
BMW,Model E,2021.0,4.1,46029.0,Diesel,Manual,33666.280504564405
BMW,Model A,2003.0,1.6,71629.0,,Manual,21107.03378919913
Honda,Model A,2000.0,2.6,170070.0,Diesel,Automatic,14755.987986878154
Ford,Model E,2008.0,2.6,167017.0,Petrol,Automatic,16523.217058181013
Honda,Model C,2009.0,3.6,101552.0,Diesel,Automatic,25137.183593551497
Ford,Model B,2005.0,4.0,49715.0,Electric,Manual,30335.63694878737
Audi,Model B,2009.0,2.9,147975.0,Petrol,Manual,20874.92144996472
Audi,Model A,2004.0,1.4,143280.0,Petrol,Automatic,16170.24116684297
Ford,Model C,2011.0,2.5,25723.0,Electric,Manual,26540.39666588605
BMW,Model B,2006.0,2.3,166607.0,Diesel,Manual,18401.260991742274
BMW,Model A,2003.0,2.4,63356.0,Diesel,Manual,22673.71530196217
Honda,Model E,2006.0,2.9,103513.0,Diesel,Manual,22405.37864503534
Toyota,Model D,2015.0,3.8,30978.0,Petrol,Manual,31596.952257272173
Toyota,Model D,2005.0,1.2,125873.0,Diesel,Manual,17096.94865176604
Toyota,Model E,2019.0,1.5,29171.0,Petrol,Automatic,26778.172722609597
Ford,Model C,2015.0,2.7,110389.0,Electric,Automatic,24808.13705516845
Ford,Model E,2016.0,1.5,65179.0,Electric,Automatic,25544.77521586281
Toyota,Model B,2018.0,1.0,189395.0,Petrol,Automatic,22533.98750423968
Ford,Model C,2013.0,1.1,150970.0,Diesel,Manual,18309.86291554488
Toyota,Model C,2014.0,4.1,181774.0,Petrol,Automatic,27419.000657350294
Honda,Model B,2004.0,2.7,145262.0,Diesel,Manual,20294.390437992733
BMW,Model C,2002.0,3.6,180379.0,Petrol,Manual,14562.955405944049
Toyota,Model E,2009.0,2.9,98736.0,Petrol,Manual,21257.9973315479
Honda,Model B,2006.0,2.0,170548.0,Petrol,Manual,18102.606269016454
Audi,Model A,2020.0,1.5,133788.0,Electric,Manual,22583.247236515035
Ford,Model D,2001.0,1.4,102185.0,Electric,Automatic,17885.440130717805
Toyota,Model B,2016.0,3.5,18951.0,Electric,Automatic,33771.45678230837
BMW,Model B,2008.0,2.8,173441.0,Petrol,Manual,19651.89319944194
Toyota,Model A,2003.0,2.1,166786.0,Diesel,Automatic,14908.789729838312
BMW,Model B,2015.0,4.4,156353.0,Petrol,Manual,26158.089276706734
Ford,Model A,2013.0,1.6,135449.0,Electric,Manual,22061.89874304924
Toyota,Model A,2002.0,2.9,45334.0,Diesel,Manual,21783.333929610657
Ford,Model A,2014.0,3.7,88529.0,Petrol,Manual,29752.626449667485
Toyota,Model B,,3.0,41528.0,Petrol,Automatic,33989.40168483695
Audi,Model C,2008.0,4.0,182756.0,Diesel,Automatic,19966.06880052068
